Elapsed Time (s),Long accel (g),Lat accel (g),Vert accel (g),Roll--Euler (deg),Pitch--Euler (deg),Yaw--Euler (deg),Latitude,Longitude,Speed (kts),Course (deg),GPS Time,Flagged
7.405,0.713804,-0.1937468,0.3269848,-28.89575023,4.057567328,252.6530457,50.14784579,-5.057893361,2.668567414,318.1723144,2021-11-17T13:20:28.050Z,N
7.454,0.3670992,-0.2345356,1.203944,-20.88357129,5.474309913,252.6530457,50.14784579,-5.057893361,2.668567414,318.1723144,2021-11-17T13:20:28.099Z,N
7.503,0.203944,-0.1427608,1.0203944,-14.22281526,6.237933593,252.6530457,50.14784579,-5.057893361,2.668567414,318.1723144,2021-11-17T13:20:28.148Z,N
7.551,-0.2141412,0.1631552,-0.3664248,-12.11853901,5.313079884,252.6530457,50.14784579,-5.057893361,2.668567414,318.1723144,2021-11-17T13:20:28.196Z,N
7.605,-0.3670992,1.0095228,-4.4453048,-18.26397349,3.586071263,252.6530457,50.14784579,-5.057893361,2.668567414,318.1723144,2021-11-17T13:20:28.250Z,N
7.655,-0.6424236,1.070706,-0.8049044,-19.18794098,8.017953872,252.6530457,50.14784579,-5.057893361,2.668567414,318.1723144,2021-11-17T13:20:28.300Z,N
7.721,-0.2141412,0.3670992,1.101972,-17.99432104,11.20510965,252.6530457,50.14784579,-5.057893361,2.668567414,318.1723144,2021-11-17T13:20:28.366Z,N
7.755,0.0815776,0.4486768,1.407888,-23.0222623,12.34635058,252.6530457,50.14784579,-5.057893361,2.668567414,318.1723144,2021-11-17T13:20:28.400Z,N
7.804,0,0.5302544,1.8871564,-23.84757112,13.024462,216.1519012,50.14784268,-5.057903813,3.255696414,308.9828926,2021-11-17T13:20:28.449Z,N
7.854,-0.4384796,0.407888,1.5302544,-19.81436324,10.67521931,216.1519012,50.14784268,-5.057903813,3.255696414,308.9828926,2021-11-17T13:20:28.499Z,N
